,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
39,"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.403,0.563
82,West Bank ,NEAR EAST                          ,2460492,5860,419.9,0.0,2.98,19.62,800.0,,145.2,16.9,18.97,64.13,3.0,31.67,3.92,0.09,0.28,0.63
45,Lebanon ,NEAR EAST                          ,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
34,Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
33,Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
25,India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
26,India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
67,Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,0.178,0.276,0.545
68,Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,0.178,0.276,0.545
32,Israel ,NEAR EAST                          ,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657
60,Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.144,0.326,0.53
61,Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.144,0.326,0.53
81,Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381
80,Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381
59,Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533
58,Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533
56,Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
55,Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
37,"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3.0,15.54,7.13,0.3,0.34,0.36
38,"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3.0,15.54,7.13,0.3,0.34,0.36
17,China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
16,China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
41,Kuwait ,NEAR EAST                          ,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,1.0,21.94,2.41,0.004,0.479,0.516
52,Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
27,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408
28,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408
74,Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46
73,Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46
69,Syria ,NEAR EAST                          ,18881361,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.81,0.249,0.23,0.519
2,Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418
3,Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402
75,Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585
18,Cyprus ,NEAR EAST                          ,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,,7.79,4.44,87.77,3.0,12.56,7.68,0.037,0.198,0.765
62,Qatar ,NEAR EAST                          ,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,1.0,15.56,4.72,0.002,0.801,0.197
77,Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361
14,Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
15,Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
49,Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436
48,Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436
19,East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,4.7,0.0,47.41,500.0,58.6,,4.71,0.67,94.62,2.0,26.99,6.24,0.085,0.231,0.684
20,East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,4.7,0.0,47.41,500.0,58.6,,4.71,0.67,94.62,2.0,26.99,6.24,0.085,0.231,0.684
12,Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,15.19,0.97,83.84,2.0,17.91,9.83,0.564,0.082,0.353
13,Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,15.19,0.97,83.84,2.0,17.91,9.83,0.564,0.082,0.353
22,Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553
10,Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036,0.561,0.403
11,Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036,0.561,0.403
35,Jordan ,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
31,Iraq ,NEAR EAST                          ,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261
79,Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.229,0.43
72,Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.234,0.286,0.48
7,Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.093,0.316,0.591
8,Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
9,Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
1,Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38
0,Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38
29,Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46
30,Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46
83,Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,1.0,42.89,8.3,0.135,0.472,0.393
78,United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,1.0,18.96,4.4,0.04,0.585,0.375
44,Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
43,Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
42,Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
57,Oman ,NEAR EAST                          ,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027,0.39,0.583
64,Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,1.0,29.34,2.58,0.033,0.613,0.354
76,Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.209,0.38,0.411
63,Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
36,Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
54,Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.206,0.214,0.58
53,Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.206,0.214,0.58
